Test,x0(m),y0(m),d(m),SNR(dB),direction_theta(rad),R_Tar(Mbps),V_Tar(m/s),UE_num,V_Cond,Connected UE_num for target AP,R_targetAP,SNR_Connected_targetAP,Ideal_Thr(Target),UTI_Thr_List(per10ms),UTI(3%),UTI(5%),Runtime
1,9.192152563,1.804852504,0.709478815,18.15458841,2.610181676,76.31754472,4,10,"[0.02, 0.04, 0.1, 0.07, 0.06, 0.0, 0.0, 0.05, 0.1]",1,[76.31754471906949],[18.154588407619837],76.31754472,"[76.31754471906949, 76.31754471906949, 76.31754471906949, 76.31754471906949, 76.31754471906949, 76.31754471906949, 76.31754471906949, 76.31754471906949, 76.31754471906949, 76.31754471906949, 76.31754471906949, 76.31754471906949, 76.31754471906949, 76.31754471906949, 76.31754471906949, 76.31754471906949, 76.31754471906949, 76.31754471906949, 76.31754471906949, 76.31754471906949, 76.31754471906949, 76.31754471906949, 76.31754471906949, 76.31754471906949, 76.31754471906949, 76.31754471906949, 76.31754471906949, 76.31754471906949, 76.31754471906949, 76.31754471906949, 76.31754471906949, 76.31754471906949, 76.31754471906949, 76.31754471906949, 76.31754471906949, 76.31754471906949, 76.31754471906949, 76.31754471906949, 76.31754471906949, 76.31754471906949, 76.31754471906949, 76.31754471906949, 76.31754471906949, 76.31754471906949, 76.31754471906949, 76.31754471906949, 76.31754471906949, 76.31754471906949, 76.31754471906949, 76.31754471906949, 76.31754471906949, 76.31754471906949, 76.31754471906949, 76.31754471906949, 76.31754471906949, 76.31754471906949, 76.31754471906949, 76.31754471906949, 76.31754471906949, 76.31754471906949, 76.31754471906949, 70.97455892002937]",0.62,0.62,1.308946848
2,0.620741422,1.10024469,0.646833062,21.41808005,,168.3185397,0,20,"[0.04, 0.1, 0.0, 0.1, 0.07, 0.02, 0.01, 0.06, 0.07, 0.0, 0.04, 0.06, 0.05, 0.08, 0.02, 0.1, 0.01, 0.05, 0.08]",1,[168.31853972610483],[21.418080046750045],142.5060561,"[142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564, 142.5060560651564]",2,2,11.30681324
3,8.261626881,8.823698936,0.493902659,20.10987991,1.444657345,227.1782324,6,50,"[0.0, 0.08, 0.05, 0.03, 0.02, 0.09, 0.1, 0.02, 0.05, 0.0, 0.06, 0.06, 0.01, 0.09, 0.02, 0.08, 0.03, 0.07, 0.0, 0.01, 0.03, 0.02, 0.0, 0.05, 0.0, 0.1, 0.05, 0.02, 0.07, 0.05, 0.02, 0.05, 0.03, 0.06, 0.07, 0.09, 0.0, 0.1, 0.09, 0.09, 0.05, 0.04, 0.09, 0.1, 0.02, 0.02, 0.07, 0.03, 0.03]",2,"[227.17823241988938, 174.9937146769395]","[20.10987990779036, 19.610263759412454]",66.94355888,"[65.78865978284614, 64.49796148958565, 63.07145162416666]",0.02,0.03,1.724124432
4,1.48885528,1.618916679,0.439489887,18.66410448,1.435064597,418.9908361,8,10,"[0.03, 0.01, 0.01, 0.02, 0.0, 0.05, 0.03, 0.07, 0.07]",1,[418.990836096948],[18.6641044766367],124.3914398,"[124.57035705744083, 127.64405908275404, 125.58045507172079, 128.31197081067882, 125.95303576283932, 125.7047874285023, 125.7047874285023, 124.86123874515165, 126.60110986521468, 123.46177362695371, 121.55402270904648, 121.55402270904648, 121.55402270904648, 119.19435955115233, 116.44500417077745]",0.14,0.15,0.801971197
5,0.170633055,8.166781456,1.2268565,16.91247375,0.230140431,71.11107762,6,20,"[0.0, 0.09, 0.05, 0.0, 0.09, 0.0, 0.06, 0.06, 0.04, 0.04, 0.08, 0.01, 0.06, 0.08, 0.08, 0.08, 0.07, 0.07, 0.1]",1,[71.11107762100856],[16.91247375337907],71.11107762,"[71.11107762100856, 71.11107762100856, 71.11107762100856, 71.11107762100856, 71.11107762100856, 71.11107762100856, 71.11107762100856, 71.11107762100856, 71.11107762100856, 71.11107762100856, 71.11107762100856, 71.11107762100856, 71.11107762100856, 71.11107762100856, 71.11107762100856, 71.11107762100856, 71.11107762100856, 71.11107762100856, 71.11107762100856, 71.11107762100856, 71.11107762100856, 71.11107762100856, 71.11107762100856, 71.11107762100856, 71.11107762100856, 71.11107762100856, 71.11107762100856, 71.11107762100856, 71.11107762100856, 71.11107762100856, 71.11107762100856, 71.11107762100856, 71.11107762100856, 71.11107762100856, 71.11107762100856, 71.11107762100856, 71.11107762100856, 71.11107762100856, 71.11107762100856, 71.11107762100856, 71.11107762100856, 71.11107762100856, 71.11107762100856, 71.11107762100856, 71.11107762100856, 71.11107762100856, 71.11107762100856, 71.11107762100856, 71.11107762100856, 71.11107762100856, 71.11107762100856, 71.11107762100856, 71.11107762100856, 71.11107762100856, 71.11107762100856, 71.11107762100856, 71.11107762100856, 71.11107762100856, 71.11107762100856, 71.11107762100856, 71.11107762100856, 71.11107762100856, 71.11107762100856, 71.11107762100856, 71.11107762100856, 71.11107762100856, 71.11107762100856, 71.11107762100856, 71.11107762100856, 71.11107762100856, 66.43052439693967]",0.71,0.71,4.263704062
6,1.622152096,0.596050752,0.752427273,21.11681351,0.036279328,103.3435187,3,40,"[0.07, 0.04, 0.02, 0.01, 0.01, 0.02, 0.09, 0.07, 0.06, 0.05, 0.06, 0.0, 0.09, 0.0, 0.05, 0.03, 0.09, 0.0, 0.09, 0.09, 0.07, 0.06, 0.09, 0.01, 0.07, 0.02, 0.01, 0.06, 0.02, 0.09, 0.07, 0.08, 0.04, 0.02, 0.07, 0.05, 0.06, 0.01, 0.01]",4,"[103.34351869618546, 55.24046129487535, 250.55722965634192, 32.77800456672564]","[21.11681350511079, 20.294770962553166, 16.88417269014192, 21.354102762136158]",35.12983152,"[35.66200569983058, 35.66200569983058, 35.66200569983058, 35.569271306956594, 35.569271306956594, 35.569271306956594, 35.809669399718736, 35.809669399718736, 35.809669399718736, 35.809669399718736, 35.513932443303, 35.513932443303, 35.513932443303, 35.87844309609808, 35.4864491682286, 35.4864491682286, 35.4864491682286, 35.4864491682286, 35.4864491682286, 35.291838841748614, 35.291838841748614, 35.291838841748614, 34.72327691026107, 34.72327691026107, 34.72327691026107, 34.93461111679484, 34.27850573032929, 34.27850573032929, 34.27850573032929, 34.27850573032929, 33.54227887346218, 33.54227887346218, 33.68048395502535, 33.68048395502535, 32.86132747199597]",0.31,0.35,22.95270014
7,2.167546393,9.494263886,1.181448313,19.745774,1.131704512,53.98759905,10,50,"[0.04, 0.0, 0.05, 0.1, 0.07, 0.07, 0.03, 0.02, 0.06, 0.08, 0.02, 0.06, 0.04, 0.1, 0.02, 0.03, 0.03, 0.03, 0.08, 0.1, 0.01, 0.06, 0.07, 0.0, 0.07, 0.02, 0.05, 0.08, 0.05, 0.03, 0.09, 0.1, 0.08, 0.06, 0.04, 0.01, 0.0, 0.01, 0.08, 0.08, 0.0, 0.03, 0.02, 0.06, 0.07, 0.07, 0.09, 0.08, 0.06]",2,"[53.98759904916848, 50.516297084482964]","[19.745773998832913, 19.563684534200046]",53.98759905,"[53.98759904916848, 53.98759904916848, 53.98759904916848, 53.98759904916848, 53.98759904916848, 53.98759904916848, 53.98759904916848, 53.98759904916848, 53.98759904916848, 53.98759904916848, 53.98759904916848, 53.98759904916848, 53.98759904916848, 53.98759904916848, 53.98759904916848, 53.98759904916848, 53.98759904916848, 53.98759904916848, 53.98759904916848, 53.98759904916848, 53.98759904916848, 53.98759904916848, 53.98759904916848, 53.98759904916848, 53.98759904916848, 53.98759904916848, 53.98759904916848, 53.98759904916848, 53.98759904916848, 53.98759904916848, 53.98759904916848, 53.98759904916848, 53.98759904916848, 53.98759904916848, 53.98759904916848, 53.98759904916848, 53.98759904916848, 53.98759904916848, 53.98759904916848, 53.98759904916848, 53.98759904916848, 53.98759904916848, 53.98759904916848, 53.98759904916848, 53.98759904916848, 53.98759904916848, 53.98759904916848, 52.880838433301214, 51.16001490099168]",0.49,0.49,8.577347279
8,8.954759721,1.24241275,0.204900243,21.2156229,0.659705688,107.6761294,5,30,"[0.1, 0.03, 0.06, 0.05, 0.02, 0.0, 0.03, 0.05, 0.0, 0.06, 0.01, 0.05, 0.09, 0.08, 0.03, 0.01, 0.03, 0.03, 0.07, 0.1, 0.04, 0.02, 0.09, 0.02, 0.08, 0.06, 0.0, 0.08, 0.04]",3,"[107.67612937894377, 13.60213529874795, 111.51145210396108]","[21.21562289808557, 21.90044251926484, 20.198997126061926]",47.05694022,"[46.01924649199391, 46.01924649199391, 46.01924649199391, 44.80108977012412, 44.80108977012412, 44.44938357775885]",0.04,0.06,1.346607685
9,9.027576807,8.648510018,0.295548812,20.83190585,0.944614193,76.14741991,7,70,"[0.06, 0.07, 0.03, 0.09, 0.08, 0.02, 0.03, 0.09, 0.03, 0.02, 0.04, 0.0, 0.1, 0.03, 0.07, 0.03, 0.09, 0.01, 0.1, 0.05, 0.09, 0.08, 0.07, 0.0, 0.0, 0.03, 0.07, 0.03, 0.05, 0.04, 0.07, 0.09, 0.0, 0.05, 0.08, 0.03, 0.0, 0.01, 0.06, 0.08, 0.08, 0.09, 0.06, 0.05, 0.08, 0.0, 0.1, 0.04, 0.09, 0.02, 0.03, 0.08, 0.07, 0.08, 0.03, 0.0, 0.06, 0.03, 0.1, 0.0, 0.09, 0.05, 0.07, 0.08, 0.09, 0.1, 0.0, 0.1, 0.06]",3,"[76.14741991477875, 98.3156322127176, 66.12081261595483]","[20.8319058538944, 21.643533151039623, 22.560483710861526]",46.21381603,"[45.096598446205704, 44.9351712393104, 43.57335661805632]",0.03,0.03,2.617373943
10,1.423858739,0.856541667,0.430158483,21.52913601,1.681466747,33.8905419,1,40,"[0.03, 0.09, 0.0, 0.05, 0.04, 0.1, 0.1, 0.01, 0.06, 0.04, 0.06, 0.01, 0.1, 0.02, 0.02, 0.05, 0.09, 0.03, 0.1, 0.0, 0.07, 0.04, 0.09, 0.08, 0.08, 0.06, 0.07, 0.09, 0.01, 0.0, 0.05, 0.06, 0.08, 0.03, 0.09, 0.0, 0.06, 0.05, 0.04]",5,"[33.89054189742755, 51.971831064334516, 86.5406640053066, 161.74420304709804, 156.74319644209103]","[21.529136010433632, 21.936855118442974, 22.042517180662237, 18.643933692691174, 22.35591766321605]",28.64773552,"[28.64773551977499, 28.64773551977499, 28.64773551977499, 28.64773551977499, 28.64773551977499, 28.64773551977499, 28.299100026299694, 28.299100026299694, 28.299100026299694, 28.299100026299694, 28.299100026299694, 28.299100026299694, 28.299100026299694, 28.067222185628545, 28.067222185628545, 28.067222185628545, 28.067222185628545, 27.671361521100575, 27.671361521100575, 27.671361521100575, 27.671361521100575, 27.671361521100575, 27.671361521100575, 27.671361521100575, 27.671361521100575, 27.671361521100575, 27.671361521100575, 27.226024036212927, 27.226024036212927, 27.226024036212927, 27.226024036212927, 27.226024036212927, 27.226024036212927, 27.226024036212927, 27.226024036212927, 27.226024036212927, 27.226024036212927, 27.226024036212927, 26.732031788730445]",0.18,0.39,5.513590813
