Test,x0(m),y0(m),d(m),SNR(dB),direction_theta(rad),R_Tar(Mbps),V_Tar(m/s),UE_num,V_Cond,Connected UE_num for target AP,R_targetAP,SNR_Connected_targetAP,Ideal_Thr(Target),UTI_Thr_List(per10ms),UTI(3%),UTI(5%),Runtime
31,2.45210835295941,2.2821976469262575,1.5844546300146585,11.346440328124759,0.21062313971656457,50.0,6.51657675117858,50,"(0.1,)",2,"[50.0, 151.5723835813006]","[11.346440328124759, 13.704904612129972]",38.71316457503539,"[40.2302525539299, 43.74699825495583, 43.74699825495583, 45.10429621549788, 47.18635636829063, 48.48434837219794, 49.66708939030511, 49.66708939030511, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 49.409837511362156, 49.409837511362156, 47.22206678991562, 48.15427704942646, 45.93204461469793, 45.93204461469793, 43.66616310378254, 43.66616310378254, 41.36540789133427, 41.36540789133427, 39.042217744869845, 40.00534046503702, 37.70466986093318, 37.70466986093318, 35.40428886742964]",0.67,0.67,13.013744831085205
32,1.8798737694689998,1.97041999057871,0.956946147016913,15.80035932052706,0.35347979875675467,50.0,6.5165767511786115,50,"(0.1,)",2,"[50.0, 151.5723835813006]","[15.80035932052706, 15.240714739819667]",50.0,"[50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 49.409837511362156, 49.409837511362156, 47.22206678991562]",0.45,0.45,8.719123601913452
33,1.3076391859785879,1.6586423342311607,0.41268733090096904,18.851315222897888,0.9317954659608036,50.0,6.5165767511786115,50,"(0.1,)",2,"[50.0, 151.5723835813006]","[18.851315222897888, 13.112102323159577]",50.0,"[50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 49.409837511362156, 49.409837511362156, 47.22206678991562]",0.35000000000000003,0.35000000000000003,6.636971712112427
34,1.5526024080506082,1.4699137181365005,0.3740725341195836,19.43600265992743,2.2368351288187247,50.0,5.053358314333025,50,"(0.1,)",2,"[50.0, 200.31990737906145]","[19.43600265992743, 15.744280825014894]",50.0,"[50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 49.409837511362156, 49.409837511362156, 47.22206678991562]",0.25,0.25,5.014557838439941
35,2.038770332497933,1.3320549071414565,0.7930268880781364,18.07010731902723,2.7616278078613843,50.0,5.053358314333025,50,"(0.1,)",2,"[50.0, 200.31990737906145]","[18.07010731902723, 20.659601925128687]",50.0,"[50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 49.409837511362156, 47.22206678991562]",0.15,0.15,3.3112118244171143
51,7.787772818850798,7.67004715530065,1.446436758007953,11.451109831476813,0.17173227488750356,50.0,6.183004844765104,50,"(0.1,)",1,[50.0],[11.451109831476813],50.0,"[50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 47.96681665788172, 47.96681665788172, 45.32487937638525]",0.47000000000000003,0.49,9.366272211074829
52,8.11415080639915,8.195187991979516,0.8438723607552104,16.441448828045214,0.2972714576681039,50.0,6.183004844765226,50,"(0.1,)",1,[50.0],[16.441448828045214],50.0,"[50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 47.96681665788172, 47.96681665788172, 45.32487937638525]",0.37,0.39,7.701493740081787
53,8.15800291832756,8.277838896005928,0.7572295905691925,17.030321701633294,2.827408029808627,50.0,4.682325658673164,50,"(0.1,)",1,[50.0],[17.030321701633294],50.0,"[50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 47.96681665788172, 47.96681665788172, 45.32487937638525]",0.27,0.29000000000000004,5.611092567443848
54,7.900088800979818,7.887042217653325,1.2112164052441725,13.722232647725953,2.947163313870951,50.0,4.682325658673237,50,"(0.1,)",1,[50.0],[13.722232647725953],50.0,"[50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 47.96681665788172, 47.96681665788172, 47.96681665788172, 41.444965540670246]",0.16999999999999998,0.19999999999999998,4.201679706573486
55,7.642174683632076,7.496245539300715,1.6730741702952219,9.52467273141424,3.0012612086275805,50.0,4.682325658673237,50,"(0.1,)",1,[50.0],[9.52467273141424],50.0,"[50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 47.96681665788172, 47.96681665788172, 45.32487937638525]",0.07,0.09000000000000001,1.9700288772583008
140,1.7708344294757787,1.5501581928755013,0.601135129299267,18.383950183300364,0.20302141209876245,50.0,4.074813739961883,50,"(0.1,)",2,"[50.0, 37.22453462834998]","[18.383950183300364, 16.81687249626281]",50.0,"[50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 49.1617726613173, 49.1617726613173, 47.481404659176256]",0.84,0.84,16.019042015075684
141,1.3840119206397077,1.4220589469308462,0.21809052270214555,19.871718278885982,0.5892804528857272,50.0,4.074813739961883,50,"(0.1,)",1,[50.0],[19.871718278885982],50.0,"[50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 47.18601461000236]",0.93,0.93,17.653843879699707
142,0.9971894118036366,1.2939597009861912,0.25660407014501263,21.138406509023334,2.6496388957255412,50.0,4.074813739961883,50,"(0.1,)",1,[50.0],[21.138406509023334],50.0,"[50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 47.18601461000236]",0.83,0.83,15.385066270828247
